xx,2178.51,22.652
sd,1489.21,614.522
ss,1485.36,624.71
ge,1584.34,323.668
xa,1584.34,323.668
xo,1611.15,329.315
pe,679.707,737.409
bf,1258.88,608.238
ly,1372.42,438.678
by,1463.14,248.643
pk,1750.28,440.19
xj,1837.1232,410.7484
id,2303.74,707.24
id,2241.03,785.07
id,2132.74,691.04
ye,1702.78,554.229
rs,1442.87,299.84
xk,1446.36,328.948
ci,1235.05,642.222
dz,1238.86,462.438
ch,1349.53,300.15
cm,1366.16,656.909
mk,1450.04,339.246
bw,1451.33,912.799
ke,1560.76,707.599
jo,1560.41,444.51
mx,452.036,417.101
ae,1686.51,488.524
bz,627.097,561.099
br,736.80,763.69
sl,1199.57,620.426
ml,1208.55,570.798
cd,1393.81,748.499
it,1353.69,308.599
so,1613.7,678.51
xs,1666.33,629.335
af,1742.22,403.83
bd,1957.42,469.35
do,761.053,542.523
gw,1174.15,591.987
gh,1276.52,644.454
at,1373.79,290.575
se,1384.59,193.16
ug,1526.5,708.609
mz,1529.91,828.36
ve,742.20,619.18
pt,1240.23,358.69
co,697.275,684.846
mr,1174.6,515.237
de,1366.68,226.26
th,2034.39,537.75
pg,2374.30,777.58
iq,1585.76,409.806
hr,1401.44,305.77
hr,1430.02,327.87
ne,1302.94,573.75
dk,1365.22,213.39
lv,1446.29,213.966
ro,1446.73,300.366
zm,1467.61,838.499
mm,1992.63,515.21
et,1552.13,630.342
gt,602.81,572.67
sr,859.776,667.71
cz,1390.78,264.942
td,1403.17,573.822
al,1442.26,347.094
fi,1436.00,116.98
sy,1562.79,410.67
kg,1796.32,352.06
om,1718.74,473.02
om,1692.82,533.32
pa,668.69,626.96
ar,788.65,951.75
ar,865.54,1151.48
gb,1260.61,230.96
cr,647.883,608.886
py,833.786,890.979
gn,1186.88,603.63
ie,1245.78,254.29
ng,1321.16,630.27
tn,1358.96,403.902
pl,1403.89,243.846
na,1390.14,847.849
za,1501.88,955.06
eg,1485.39,438.966
tz,1527.66,745.27
sa,1624.65,556.58
vn,2065.64,504.77
ru,1439.66,230.94
ru,1537.45,177.43
xq,1555.41,306.158
ht,744.00,537.32
ba,1416.41,309.222
in,1810.76,492.894
ca,814.53,95.73
sv,618.363,579.654
gy,832.346,647.118
be,1327.72,258.634
gq,1374.08,684.85
ls,1501.88,955.06
bg,1462.35,320.238
bi,1522.25,722.289
dj,1618.66,603.126
xn,1639.19,358.825
ir,1617.37,357.97
my,2064.27,642.942
my,2138.36,680.598
uy,879.656,962.77
cg,1385.6,732.579
ee,1460.41,197.40
rw,1521.18,720.129
am,1610.82,342.545
sn,1170.03,571.086
tg,1299.78,602.19
es,1244.12,328.09
ga,1368.03,706.23
hu,1418.29,293.958
mw,1548.94,817.129
tj,1782.39,358.758
kh,2077.16,583.47
kr,2206.76,372.22
hn,624.63,573.68
is,1181.05,144.054
ni,636.795,585.558
cl,771.58,857.29
cl,856.18,1156.95
ma,1207.6,456.891
eh,1175.07,511.098
xz,1204.3359,513.81806
lr,1213.09,638.622
cf,1481.12,617.073
sk,1423.47,279.198
lt,1446.8,217.493
zw,1491.94,852.679
il,1555.66,425.214
la,2052.82,522.486
kp,2182.21,351.774
gr,1447.66,355.374
tm,1673.17,337.662
ec,681.94,717.53
bj,1306.97,605.862
si,1401,301.582
no,1347.01,174.87
md,1488.56,282.294
xp,1501.01,283.926
ua,1528.1345,248.037
xd,1566.6893,280.95275
xl,1573.9927,277.86157
np,1892.91,447.894
er,1576.98,567.49
us,274.85,226.21
us,432.17,367.18
kz,1717.01,301.772
tf,1772.09,1121.89
uz,1691.96,309.87
mn,1895.98,274.542
bt,1959.56,463.719
nf,2551.27,937.143
nx,1826.53,357.318
hk,2154.34,503.838
mo,2151.1,506.502
rx,1277.96,284.094
gf,883.326,678.438
mq,840.336,573.966
re,1719.46,880.259
yt,1643.43,810.989
lx,1333.33,256.66
lx,1342.7171,243.77656
bq,782.74,594.56
lb,1559.12,412.254
me,1435.71,330.606
sz,1530.97,929.662
kw,1645.81,446.74
gs,1082.48,1170.34
gm,1173.63,582.894
qa,1679.79,479.79
jm,711.459,540.558
cy,1537.59,395.766
xc,1545.03,395.791
pr,804.765,543.15
lu,1348.75,268.58
mu,1734.15,871.618
cw,778.996,594.414
sx,826.82,542.35
dm,837.096,567.054
fm,2507.21,639.918
bh,1676.91,472.086
ad,1317.49,330.318
mp,2403.82,567.989
pw,2326.14,634.95
sc,1724.5,740
io,1842,762
bb,849.556,585.63
vc,837.026,584.982
lc,839.185,579.942
gd,832.486,594.702
mt,1409.36,388.854
mv,1845.09,675.359
ky,690.003,531.342
ms,831.601,554.398
bl,827.92,543.471
nu,26.5,867
pm,928.616,292.302
ck,101,883
wf,2700.51,814.35
as,2734.37,822.939
mh,2607.82,640.785
aw,769.776,590.526
li,1373.36,292.374
sh,1250.33,847.358
je,1296.39,274.59
ai,825.866,541.422
mf,826.359,542.311
gg,1293.19,272.112
sm,1393.24,320.462
bm,832.056,419.454
tv,2660.34,771.243
nr,2561.1,682.146
gi,1267.11,386.071
pn,342,911
mc,1358.89,320.67
va,1394.48,337.712
im,1281.85,233.982
gu,2398.42,584.046
sg,2093.43,686.214
tk,2737.92,782.766
